51.4546038,0.1314931,Timothy Close,,,,,Timothy Close
51.4530838,0.1294598,Cuxton Close; Ditton Road,,,,,Ditton Road
51.4546427,0.1298177,Cuxton Close,,,,,Cuxton Close
51.4564584,0.13598,Lion Road; Standard Road,,,,,Standard Road
51.4578448,0.1361954,Broadway; Lion Road,,,,,Lion Road
51.4565911,0.1339995,Devonshire Road; Standard Road,,,,,Standard Road
51.4560272,0.1339596,Paddock Road; Sunland Avenue,,,,,Sunland Avenue
51.4560075,0.1333856,Lenor Close; Paddock Road,,,,,Paddock Road
51.4567262,0.1316347,Sydney Road; Upton Road,,,,,Upton Road
51.4564406,0.1270253,Dallin Road; Sydney Road,,,,,Sydney Road
51.456629,0.125858,Balcombe Close; Sydney Road,,,,,Sydney Road
51.4562147,0.1245774,South Close,,,,,South Close
51.4553713,0.1285834,Askern Close; Red House Lane,,,,,Red House Lane
51.4559421,0.1261785,Askern Close,,,,,Askern Close
51.4554752,0.1235178,Bean Road,,,,,Bean Road
51.4565987,0.1230665,Danson Road; The Grove,,,,,The Grove
51.457278,0.1231804,Danson Road; The Grove,,,,,The Grove
51.456869,0.1238755,The Grove,,,,,The Grove
51.4574317,0.1249208,North Close,,,,,North Close
51.4570222,0.1260653,Balcombe Close,,,,,Balcombe Close
51.4576763,0.1284274,Brunswick Road; Robina Close,,,,,Robina Close
51.4569794,0.1283968,Robina Close,,,,,Robina Close
51.4576624,0.1292739,Brunswick Road; Clarence Road,,,,,Clarence Road
51.4577222,0.1313137,Brunswick Road; Upton Road,,,,,Upton Road
51.4580666,0.134502,Broadway; Devonshire Road,,,,,Devonshire Road
51.4578938,0.1328819,Emerton Close,,,,,Emerton Close
51.4582648,0.1330338,Broadway; Emerton Close,,,,,Emerton Close
51.4576073,0.1327809,Emerton Close,,,,,Emerton Close
51.4509938,0.1261969,Brasted Close; Brook Lane,,,,,Brook Lane
51.4513978,0.1254853,Brasted Close,,,,,Brasted Close
51.4517134,0.125966,Brasted Close,,,,,Brasted Close
51.4507218,0.1257493,Brook Lane; Pengarth Road,,,,,Pengarth Road
51.4504322,0.1252897,Brook Lane; Sandhurst Road,,,,,Sandhurst Road
51.4489459,0.1285694,Pengarth Road; Penn Lane,,,,,Penn Lane
51.4485896,0.1299743,Penn Lane,,,,,Penn Lane
51.4487661,0.1275453,Penn Lane,,,,,Penn Lane
51.4497985,0.1257085,Coronation Close; Margaret Road,,,,,Margaret Road
51.4493438,0.1250304,Coronation Close,,,,,Coronation Close
51.4502861,0.1250959,Brook Lane; Margaret Road,,,,,Margaret Road
51.4492089,0.1236196,Brook Lane,,,,,Brook Lane
51.4512742,0.1224782,Danson Road; Sandhurst Road,,,,,Sandhurst Road
51.4511676,0.1237045,Sandhurst Road; Wellington Road,,,,,Wellington Road
51.4515652,0.1226965,Danson Road; Sandhurst Road,,,,,Sandhurst Road
51.4510032,0.1242562,Sandhurst Road; Wellington Road,,,,,Wellington Road
51.4508192,0.1237748,Wellington Road,,,,,Wellington Road
51.4498597,0.1228683,Wellington Road,,,,,Wellington Road
51.4495755,0.1227978,Lodge Lane; Wellington Road,,,,,Wellington Road
51.4501702,0.121977,Lodge Lane,,,,,Lodge Lane
51.4498137,0.1224471,Lodge Lane; Wellington Road,,,,,Wellington Road
51.4493917,0.1230608,Danson Road; Lodge Lane,,,,,Lodge Lane
51.4656094,0.1404104,Belvedere Road; Haslemere Road,,,,,Haslemere Road
51.4650067,0.1402932,Belvedere Road; Fairfield Road,,,,,Fairfield Road
51.4632617,0.1399886,Belvedere Road; Nursery Avenue,,,,,Nursery Avenue
51.4610484,0.1380904,Belvedere Road; Church Road,,,,,Church Road
51.4604949,0.1380086,Bynon Avenue; Church Road,,,,,Church Road
51.4597621,0.1396451,Upland Road,,,,,Upland Road
51.4613911,0.1396289,Upland Road,,,,,Upland Road
51.4621177,0.1393635,Belvedere Road; Upland Road,,,,,Upland Road
51.4625443,0.1424395,Nursery Avenue,,,,,Nursery Avenue
51.4628852,0.1412545,Burr Close; Nursery Avenue,,,,,Nursery Avenue
51.4635524,0.141757,Burr Close,,,,,Burr Close
51.4636451,0.1412688,Burr Close,,,,,Burr Close
51.4626309,0.137488,Church Road; Woodlands Road,,,,,Woodlands Road
51.4634862,0.137434,Church Road; Station Road,,,,,Station Road
51.4610263,0.1347392,Glengall Road; Harlington Road; Stratton Road,,,,,Stratton Road
51.4619919,0.1348913,Glengall Road; Sheridan Road,,,,,Sheridan Road
51.4633365,0.1351475,Glengall Road; Station Road,,,,,Station Road
51.4629905,0.1323946,Avenue Road; Woodlands Road,,,,,Woodlands Road
51.462169,0.13212,Avenue Road; Sheridan Road,,,,,Sheridan Road
51.4617961,0.1319722,Avenue Road; Pickford Road,,,,,Pickford Road
51.4595977,0.1372242,Princess Street; Queen Street,,,,,Queen Street
51.4578659,0.1360434,Broadway; West Street,,,,,West Street
51.4605388,0.1365296,Bynon Avenue,,,,,Bynon Avenue
51.457787,0.1442077,Graham Road; Sherbrooke Close,,,,,Sherbrooke Close
51.4595771,0.1356147,Abbey Road; Ethronvi Road,,,,,Ethronvi Road
51.4580044,0.1349926,Abbey Road; Broadway,,,,,Broadway
51.4593084,0.134446,Harcourt Road,,,,,Harcourt Road
51.4598641,0.1335877,Ethronvi Road; Sandford Road,,,,,Sandford Road
51.4600192,0.1323604,Ethronvi Road; Pickford Road,,,,,Pickford Road
51.4612492,0.1317338,Avenue Road; Chestnut Drive,,,,,Chestnut Drive
51.4604087,0.1313461,Avenue Road; Glynde Road,,,,,Glynde Road
51.4622324,0.1310648,Beechwood Crescent; Blackthorn Grove,,,,,Blackthorn Grove
51.4626805,0.1307237,Blackthorn Grove,,,,,Blackthorn Grove
51.4613994,0.1307027,Blackthorn Grove; Chestnut Drive,,,,,Chestnut Drive
51.4632959,0.1286313,Brampton Road; Fox Hollow Drive,,,,,Fox Hollow Drive
51.4617903,0.1274126,Brampton Road; Chestnut Drive,,,,,Chestnut Drive
51.4619444,0.1275538,Brampton Road; Palmeira Road; South Gipsy Road,,,,,South Gipsy Road
51.4626107,0.128087,Brampton Road; Marlborough Road,,,,,Marlborough Road
51.4611529,0.1268586,Brampton Road; Glynde Road,,,,,Glynde Road
51.460798,0.128968,Glynde Road; Queen Anne Gate,,,,,Queen Anne Gate
51.4606192,0.1300704,Glynde Road,,,,,Glynde Road
51.4601133,0.1300703,Glynde Road,,,,,Glynde Road
51.4597082,0.1291739,Adams Square; Regency Way,,,,,Regency Way
51.4598264,0.1285553,Queen Anne Gate; Regency Way,,,,,Regency Way
51.4592244,0.1289684,Adams Square,,,,,Adams Square
51.4595165,0.1301717,Regency Way,,,,,Regency Way
51.4599419,0.1278857,Gainsborough Square; Hanover Way; Regency Way,,,,,Regency Way
51.4594483,0.127647,Gainsborough Square,,,,,Gainsborough Square
51.4601101,0.1273736,Hanover Way; Longmere Court,,,,,Longmere Court
51.4605379,0.1274539,Hanover Way,,,,,Hanover Way
51.4635038,0.1230623,Marlborough Road; Palmeira Road; South Gipsy Road,,,,,South Gipsy Road
51.4643641,0.1233395,Gipsy Road,,,,,Gipsy Road
51.4638094,0.1231598,South Gipsy Road,,,,,South Gipsy Road
51.4627986,0.1216266,Bethel Road; South Gipsy Road; Westbrooke Road,,,,,Westbrooke Road
51.4649682,0.1427146,Haslemere Road; Hyde Road,,,,,Hyde Road
51.4658573,0.1433653,Hyde Road,,,,,Hyde Road
51.4651176,0.1421903,Haslemere Road; Lonsdale Road,,,,,Lonsdale Road
51.4645545,0.1416543,Lonsdale Road,,,,,Lonsdale Road
51.4640899,0.1375539,Church Road; Percy Road,,,,,Percy Road
51.4641256,0.1352558,Bridge Road; Glengall Road; Percy Road,,,,,Percy Road
51.4648282,0.1353404,Bridge Road; Oldfield Road,,,,,Oldfield Road
51.4648102,0.1359555,Oldfield Road,,,,,Oldfield Road
51.4655178,0.1382008,Church Road; Fairfield Road,,,,,Fairfield Road
51.4648179,0.1378891,Church Road; Oldfield Road,,,,,Oldfield Road
